Estado,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Aguascalientes,11372696,13406972,18454743,25867651,33167680,41010009,49265221,61679103,66231878,71616752,77476723,87453284,94368618,107450144,121725907,127431784,128096818,140853101,150983802,163246820,173096586,197952139,197952139
Baja California,32382523,38174958,53477245,72866009,97637698,119420226,148317734,180879629,183592039,189341710,243741732,275513146,298035755,334570117,353974139,371518536,358710542,370359090,396317644,428290174,436560904,454991553,454991553
Baja California Sur,6172965,6817704,9007813,12305675,15887211,19223653,22963034,26961076,30676259,33336937,46975297,56750736,65043480,73482267,82628757,91013488,92288127,97340005,106124605,111765423,117003304,120076127,120076127
Campeche,13695929,15288586,23006068,29688518,35335688,38109993,48692178,59557288,63105555,73266951,351552907,474036210,562681880,621116155,661524712,753115217,543643394,614131757,762976916,771678497,709945630,691744103,691744103
Coahuila,33759964,37695985,55950678,79482392,98652033,121394373,140323030,155674752,163098960,185148831,245203092,275573417,291837980,323794840,351897160,381450891,346586906,410328258,465110830,512238388,514701260,554860924,554860924
Colima ,6358135,7075973,8769847,12184665,15185715,19265938,23731874,27247752,28152824,31296207,44425598,47973454,51421217,56906890,63239343,69265012,67619398,72721225,80830020,87053450,90688970,98110179,98110179
Chiapas,20644398,23579105,29900839,39517837,49340617,59339042,68701244,81194852,86693762,96802427,139152592,149192671,159426893,178959462,186773377,207208938,207837713,234265124,256439881,273711140,275390165,291168493,291168493
Chihuahua,45225902,49983783,69762967,97131434,121773205,152233292,184824812,228549529,233023057,243428413,214438510,240616350,262984677,297709102,321737929,346716598,331754921,351184027,375223075,417216381,437445085,463533072,463533072
Distrito Federal,274667008,311638425,383047031,513792749,643559406,786584495,943877141,1121855818,1176371821,1331089413,1344137677,1484607125,1610081303,1770826836,1899538938,2029146991,2034273220,2168903256,2323961179,2473799466,2582213158,2694460548,2694460548
Durango,14995341,17013687,21862493,30925998,37498620,46207498,52378658,59924458,66573229,72242827,96275436,105885274,112142693,121961036,133109576,142855367,144866537,153984754,171138471,184047926,191446943,199929434,199929434
Guanajuato,38802028,43579618,56410661,82856319,101384801,124416888,145166585,170862209,179816995,201967554,292700723,326881884,335546381,389015094,403837117,447309413,436671292,482970710,535641634,586251068,614789937,682201046,682201046
Guerrero,21624441,24269158,29917928,38563087,47294010,59032757,72637446,85676774,93694825,100398839,118650138,133854930,142029792,153418400,167193774,174153370,180715448,197174507,205422731,218492831,225957209,246088062,246088062
Hidalgo,17616294,19168483,22330815,31433216,38715598,48510152,57125722,64968610,68438674,74280093,113345774,135063324,133953633,162057439,170124409,188284766,179056841,205030440,224906332,252900404,253658337,276783592,276783592
Jalisco,75815855,85292666,105052810,147400429,181786912,227495077,273261109,321206819,346263870,367710214,478592098,529519652,570286201,631401643,695337739,747499631,729333300,800178322,872256883,946661701,990395925,1066372813,1066372813
México,119971573,133308884,168414300,236800861,299227100,362431863,426241731,503113132,527733846,552573682,673821258,745665351,816020589,899014212,979529411,1058285259,1070010788,1191184640,1290168746,1391940996,1446796394,1516171321,1516171321
Michoacán,27014566,30759643,39453744,52919125,69071547,81329056,101532814,110932058,116280930,121559627,174752348,195358245,209183624,229944649,254826862,282029378,273869060,297543138,333299572,349088377,360755192,396042233,396042233
Morelos,17321727,18906591,22629219,30215643,38167856,48662965,57815044,66511351,75279264,77781479,98153850,105436838,113569599,121042397,130263947,133498112,134620860,149284851,163499655,177806859,184388420,188838270,188838270
Nayarit,7621420,8539891,9428728,12823454,15885033,19743939,23692277,26379053,30481592,32645622,47178362,54858545,58989240,64510877,68885370,77996646,78446244,86059384,92378463,96948233,102198652,109078489,109078489
Nuevo León,74074508,85559527,111675746,151830641,193251261,240613248,286750047,352924312,368601563,409144470,488550220,564907043,619800974,708358498,788861591,846453959,813115728,909545464,996123519,1079108501,1100630275,1188978821,1188978821
Oaxaca,19234866,21869407,27135502,36617921,43584479,51939795,62767315,73878368,81320199,88876017,121990090,139268168,136018752,165035976,167257523,183904851,179691537,199698951,222109968,246309142,244605006,262552740,262552740
Puebla,37665933,42740138,56000297,78773533,101479189,129119652,163274576,187412866,198867176,209142847,242096244,263525344,291674191,320248325,341977457,373445349,366426842,402702366,442932704,491095222,498831251,515282180,515282180
Querétaro,16223531,19208103,26933222,37586930,48780733,62127245,73262930,86334283,90933338,98817376,125147761,143404867,160742396,181256763,202436058,223118504,225552736,249250778,277260691,305944519,324043642,354038051,354038051
Quintana Roo,14846909,16608833,20596828,27932297,36374165,46707476,56899489,69770372,81295699,87947261,106337728,119663981,130581943,144167769,163166770,179545366,178655130,189536181,203680414,225983873,239243883,263742150,263742150
San Luis Potosí,20431660,23688382,30285204,40487455,50553418,61374141,71570530,85772440,87333786,94796910,131790788,152663612,166390425,187468002,201131644,220474599,220162310,243994508,269390142,295311396,300679587,312847807,312847807
Sinaloa,26881029,28629067,34698957,48132389,57307500,67857845,79188306,96569985,99888549,109461390,156309272,180615909,191690834,206006424,230980145,257363378,257476194,274444138,285103047,313145387,323964781,341197114,341197114
Sonora,30346244,34831586,48801436,63839872,79343206,95724203,111617786,133261690,141481438,145711362,187402022,212289906,238242559,278892330,301557121,320904035,319448856,355521135,405813318,443654537,466692353,474634821,474634821
Tabasco,14858061,16472843,21723353,28983588,35774752,42030856,51198668,60267752,65734140,70210428,148670246,186295815,226127908,267451724,304137777,367560063,327397222,391525755,500794862,523972382,488660960,512685927,512685927
Tamaulipas,32233873,37495002,50194692,68182162,83673639,104218532,128040058,154304070,160993863,178829366,239039113,271254356,297696773,329037522,354031241,390300601,372469853,400282754,424717195,448272242,458650468,495716856,495716856
Tlaxcala,5859721,6561225,8510629,11963921,15194889,18281065,22020073,26511265,29394244,30834528,43483770,49458516,49122836,55533034,59079557,65220519,64850249,70713969,77178825,84191244,86828253,91296548,91296548
Veracruz,52693995,60386817,80251414,107729437,128771328,148948997,172537100,198245695,212841759,232009601,347853755,407978060,432091031,513036494,554744321,613920737,613470142,683988683,735591271,815231869,812689031,830670621,830670621
Yucatán,15029646,17218056,20898510,29029150,36895171,46043325,56750579,69230571,76411137,80398387,106316041,118035305,131936150,145307793,157954231,172135151,177600342,191376251,203784847,220281250,228971840,247662616,247662616
Zacatecas,9689448,10532473,14251109,18810169,22718531,28384265,30317786,35859749,39047366,41978296,57259788,66294140,69178203,81020414,88680242,98072969,113737866,137397770,170095462,181358094,160953450,166896877,166896877
